lat_sweref	lat_wgs84	lon_sweref	lon_wgs84
6899123	62.1	805261	20.853
6899123	62.0918	815261	21.0435
6899123	62.0833	825261	21.2339
6899123	62.0746	835261	21.4241
6889123	62.1098	635261	17.5922
6889123	62.1061	645261	17.7836
6889123	62.1021	655261	17.9749
6889123	62.0978	665261	18.1662
6889123	62.0933	675261	18.3574
6889123	62.0886	685261	18.5486
6889123	62.0835	695261	18.7397
6889123	62.0782	705261	18.9307
6889123	62.0726	715261	19.1216
6889123	62.0668	725261	19.3124
6889123	62.0607	735261	19.5032
6889123	62.0544	745261	19.6938
6889123	62.0477	755261	19.8844
6889123	62.0409	765261	20.0749
6889123	62.0337	775261	20.2653
6889123	62.0263	785261	20.4556
6889123	62.0186	795261	20.6457
6889123	62.0107	805261	20.8358
6889123	62.0025	815261	21.0257
6889123	61.9941	825261	21.2155
6889123	61.9854	835261	21.4052
6879123	62.0236	625261	17.3937
6879123	62.0201	635261	17.5846
6879123	62.0164	645261	17.7754
6879123	62.0125	655261	17.9662
6879123	62.0082	665261	18.1569
6879123	62.0037	675261	18.3476
6879123	61.998999999999995	685261	18.5381
6879123	61.9939	695261	18.7287
6879123	61.9887	705261	18.9191
6879123	61.9831	715261	19.1095
6879123	61.9773	725261	19.2998
6879123	61.9712	735261	19.49
6879123	61.9649	745261	19.6801
6879123	61.9583	755261	19.8701
6879123	61.9514	765261	20.06
6879123	61.9443	775261	20.2498
6879123	61.9369	785261	20.4396
6879123	61.9293	795261	20.6292
6879123	61.9214	805261	20.8187
6879123	61.9132	815261	21.0081
6879123	61.9048	825261	21.1974
6879123	61.8961	835261	21.3865
6879123	61.8872	845261	21.5755
6869123	61.9339	625261	17.3867
6869123	61.9305	635261	17.577
6869123	61.9268	645261	17.7673
6869123	61.9228	655261	17.9575
6869123	61.9186	665261	18.1476
6869123	61.9141	675261	18.3377
6869123	61.9094	685261	18.5278
6869123	61.9044	695261	18.7177
6869123	61.8991	705261	18.9076
6869123	61.8936	715261	19.0974
6869123	61.8878	725261	19.2872
6869123	61.8817	735261	19.4768
6869123	61.8754	745261	19.6664
6869123	61.8689	755261	19.8558
6869123	61.861999999999995	765261	20.0452
6869123	61.8549	775261	20.2345
6869123	61.8476	785261	20.4237
6869123	61.84	795261	20.6127
6869123	61.8321	805261	20.8017
6869123	61.824	815261	20.9906
6869123	61.8156	825261	21.1793
6869123	61.8069	835261	21.3679
6869123	61.798	845261	21.5564
6859123	61.8442	625261	17.3797
6859123	61.8408	635261	17.5695
6859123	61.8371	645261	17.7592
6859123	61.8332	655261	17.9488
6859123	61.82899999999999	665261	18.1385
6859123	61.8245	675261	18.328
6859123	61.8198	685261	18.5175
6859123	61.8148	695261	18.7069
6859123	61.8095	705261	18.8962
6859123	61.803999999999995	715261	19.0855
6859123	61.7983	725261	19.2747
6859123	61.7922	735261	19.4638
6859123	61.786	745261	19.6528
6859123	61.7794	755261	19.8417
6859123	61.7726	765261	20.0305
6859123	61.7655	775261	20.2193
6859123	61.7582	785261	20.4079
6859123	61.7506	795261	20.5964
6859123	61.7428	805261	20.7848
6859123	61.7347	815261	20.9732
6859123	61.7263	825261	21.1613
6859123	61.7177	835261	21.3494
6859123	61.7088	845261	21.5374
6859123	61.6997	855261	21.7252
6849123	61.7545	625261	17.3728
6849123	61.7511	635261	17.562
6849123	61.7474	645261	17.7512
6849123	61.7435	655261	17.9403
6849123	61.7393	665261	18.1293
6849123	61.7349	675261	18.3183
6849123	61.7302	685261	18.5072
6849123	61.7252	695261	18.6961
6849123	61.72	705261	18.8849
6849123	61.7145	715261	19.0736
6849123	61.7087	725261	19.2622
6849123	61.7027	735261	19.4508
6849123	61.6965	745261	19.6393
6849123	61.69	755261	19.8277
6849123	61.6832	765261	20.0159
6849123	61.6761	775261	20.2041
6849123	61.6688	785261	20.3922
6849123	61.6613	795261	20.5802
6849123	61.6535	805261	20.7681
6849123	61.6454	815261	20.9559
6849123	61.6371	825261	21.1435
6849123	61.6285	835261	21.3311
6849123	61.6197	845261	21.5185
6849123	61.6106	855261	21.7058
6839123	61.6679	615261	17.1772
6839123	61.6648	625261	17.3659
6839123	61.6614	635261	17.5546
6839123	61.6578	645261	17.7432
6839123	61.6539	655261	17.9317
6839123	61.6497	665261	18.1202
6839123	61.6453	675261	18.3087
6839123	61.6406	685261	18.4971
6839123	61.6356	695261	18.6854
6839123	61.6304	705261	18.8736
6839123	61.6249	715261	19.0618
6839123	61.6192	725261	19.2499
6839123	61.6132	735261	19.4379
6839123	61.607	745261	19.6259
6839123	61.6005	755261	19.8137
6839123	61.5937	765261	20.0014
6839123	61.5867	775261	20.1891
6839123	61.5795	785261	20.3767
6839123	61.5719	795261	20.5641
6839123	61.5642	805261	20.7514
6839123	61.5561	815261	20.9387
6839123	61.5478	825261	21.1258
6839123	61.5393	835261	21.3128
6839123	61.5305	845261	21.4997
6839123	61.5214	855261	21.6865
6829123	61.5782	615261	17.1709
6829123	61.5751	625261	17.3591
6829123	61.5717	635261	17.5472
6829123	61.5681	645261	17.7352
6829123	61.5642	655261	17.9233
6829123	61.56	665261	18.1112
6829123	61.5556	675261	18.2991
6829123	61.551	685261	18.487000000000002
6829123	61.54600000000001	695261	18.6748
6829123	61.5408	705261	18.8625
6829123	61.5354	715261	19.0501
6829123	61.5297	725261	19.2377
6829123	61.5237	735261	19.4251
6829123	61.5175	745261	19.6125
6829123	61.511	755261	19.7998
6829123	61.5043	765261	19.987000000000002
6829123	61.4973	775261	20.1742
6829123	61.4901	785261	20.3612
6829123	61.4826	795261	20.5481
6829123	61.4748	805261	20.7349
6829123	61.4668	815261	20.9216
6829123	61.4586	825261	21.1082
6829123	61.45	835261	21.2947
6829123	61.4413	845261	21.4811
6829123	61.4322	855261	21.6673
6819123	61.4885	615261	17.1646
6819123	61.4854	625261	17.3523
6819123	61.4821	635261	17.5398
6819123	61.4784	645261	17.7274
6819123	61.4745	655261	17.9149
6819123	61.4704	665261	18.1023
6819123	61.466	675261	18.2897
6819123	61.4614	685261	18.477
